Name,Year,Episodes,Type,Rating
1. Breaking Bad,2008–2013,62 eps,TV-MA,9.5
2. Planet Earth II,2016,6 eps,TV-G,9.5
3. Planet Earth,2006,11 eps,TV-PG,9.4
4. Band of Brothers,2001,10 eps,TV-MA,9.4
5. Chernobyl,2019,5 eps,TV-MA,9.4
6. The Wire,2002–2008,60 eps,TV-MA,9.3
7. Avatar: The Last Airbender,2005–2008,62 eps,TV-Y7-FV,9.3
8. Blue Planet II,2017,7 eps,TV-G,9.3
9. The Sopranos,1999–2007,86 eps,TV-MA,9.2
10. Cosmos: A Spacetime Odyssey,2014,13 eps,TV-PG,9.3
11. Our Planet,2019–2023,12 eps,TV-PG,9.3
12. Cosmos,1980,13 eps,TV-PG,9.3
13. Game of Thrones,2011–2019,73 eps,TV-MA,9.2
14. The World at War,1973–1974,26 eps,TV-PG,9.2
15. Rick and Morty,2013–,63 eps,TV-MA,9.1
16. Fullmetal Alchemist: Brotherhood,2009–2010,68 eps,TV-14,9.1
17. Bluey,2018–,171 eps,TV-Y,9.5
18. The Last Dance,2020,10 eps,TV-MA,9.1
19. Life,2009,11 eps,TV-G,9.1
20. The Twilight Zone,1959–1964,156 eps,TV-PG,9.1
21. Sherlock,2010–2017,15 eps,TV-14,9.1
22. The Vietnam War,2017,10 eps,TV-MA,9.1
23. Batman: The Animated Series,1992–1995,85 eps,TV-PG,9
24. Scam 1992: The Harshad Mehta Story,2020,10 eps,TV-14,9.3
25. Attack on Titan,2013–2023,98 eps,TV-MA,9.1
26. Arcane,2021–,10 eps,TV-14,9
27. The Office,2005–2013,188 eps,TV-14,9
28. The Blue Planet,2001,8 eps,TV-G,9
29. Human Planet,2011,8 eps,TV-PG,9
30. Firefly,2002–2003,14 eps,TV-14,9
31. Better Call Saul,2015–2022,63 eps,TV-MA,9
32. Frozen Planet,2011–2012,10 eps,TV-PG,9
33. Death Note,2006–2007,37 eps,TV-14,8.9
34. Clarkson's Farm,2021–,17 eps,TV-PG,9
35. The Civil War,1990,9 eps,TV-14,9.1
36. Only Fools and Horses,1981–2003,64 eps,TV-PG,9
37. Hunter x Hunter,2011–2014,148 eps,TV-14,9
38. True Detective,2014–,25 eps,TV-MA,8.9
39. Seinfeld,1989–1998,173 eps,TV-PG,8.9
40. Dekalog,1989–1990,10 eps,TV-MA,9
41. The Beatles: Get Back,2021,3 eps,PG-13,9
42. Persona,2018,12 eps,TV-MA,9
43. Fargo,2014–2023,51 eps,TV-MA,8.9
44. Cowboy Bebop,1998–1999,26 eps,TV-14,8.9
45. Nathan for You,2013–2017,32 eps,TV-14,8.9
46. Gravity Falls,2012–2016,41 eps,TV-Y7,8.9
47. Last Week Tonight with John Oliver,2014–,330 eps,TV-MA,8.9
48. Succession,2018–2023,39 eps,TV-MA,8.9
49. When They See Us,2019,4 eps,TV-MA,8.9
50. Friends,1994–2004,234 eps,TV-14,8.9
51. Apocalypse: The Second World War,2009,6 eps,TV-MA,9
52. Africa,2013,7 eps,TV-PG,8.9
53. TVF Pitchers,2015–2022,10 eps,TV-MA,9.1
54. Taskmaster,2015–,139 eps,TV-14,9
55. It's Always Sunny in Philadelphia,2005–,172 eps,TV-MA,8.8
56. Monty Python's Flying Circus,1969–1974,45 eps,TV-14,8.8
57. As If,2021–,42 eps,TV-14,9
58. The West Wing,1999–2006,155 eps,TV-MA,8.9
59. Das Boot,1985,3 eps,TV-MA,8.8
60. Curb Your Enthusiasm,2000–,111 eps,TV-PG,8.8
61. Leyla and Mecnun,2011–2023,144 eps,TV-PG,9.1
62. Fawlty Towers,1975–1979,12 eps,TV-PG,8.8
63. Pride and Prejudice,1995,6 eps,TV-14,8.8
64. Freaks and Geeks,1999–2000,18 eps,TV-MA,8.8
65. BoJack Horseman,2014–2020,77 eps,TV-PG,8.8
66. Blackadder Goes Forth,1989,6 eps,TV-MA,8.8
67. Twin Peaks,1990–1991,30 eps,TV-14,8.8
68. One Piece,1999–,1076 eps,TV-MA,8.9
69. The Last of Us,2023–,10 eps,TV-MA,8.8
70. Narcos,2015–2017,30 eps,TV-PG,8.8
71. Dragon Ball Z,1989–1996,277 eps,TV-MA,8.8
72. Black Mirror,2011–,27 eps,TV-MA,8.7
73. Chappelle's Show,2003–2006,33 eps,TV-PG,8.8
74. Dragon Ball Z,1989–1996,291 eps,Not Rated,8.8
"75. I, Claudius",1976,13 eps,TV-14,8.8
76. South Park,1997–,330 eps,TV-14,8.7
77. Kota Factory,2019–2021,10 eps,TV-PG,9
78. Over the Garden Wall,2014,10 eps,TV-MA,8.8
79. Six Feet Under,2001–2005,63 eps,TV-MA,8.7
80. Ted Lasso,2020–2023,34 eps,TV-MA,8.8
81. Peaky Blinders,2013–2022,36 eps,TV-MA,8.8
82. Rome,2005–2007,22 eps,TV-MA,8.7
83. Oz,1997–2003,56 eps,TV-14,8.7
84. Steins;Gate,2011–2015,26 eps,TV-MA,8.8
85. Gullak,2019–,15 eps,TV-MA,9.1
86. Dark,2017–2020,26 eps,TV-MA,8.7
87. Vinland Saga,2019–,48 eps,TV-14,8.8
88. The Boys,2019–,32 eps,TV-MA,8.7
89. Panchayat,2020–,16 eps,TV-14,8.9
90. Fleabag,2016–2019,12 eps,TV-14,8.7
91. Arrested Development,2003–2019,84 eps,TV-14,8.7
92. The Simpsons,1989–,751 eps,TV-MA,8.7
93. Battlestar Galactica,2004–2009,74 eps,TV-PG,8.7
94. The Shield,2002–2008,89 eps,TV-PG,8.7
95. One Punch Man,2015–2019,25 eps,TV-14,8.7
96. Downton Abbey,2010–2015,52 eps,TV-MA,8.7
97. House,2004–2012,176 eps,TV-MA,8.7
98. Bleach: Thousand-Year Blood War,2022–,15 eps,TV-MA,9.1
99. Severance,2022–,19 eps,TV-PG,8.7
100. Invincible,2021–,17 eps,TV-14,8.7
101. Sarabhai V/S Sarabhai,2004–2017,79 eps,TV-MA,9
102. Stranger Things,2016–2024,42 eps,TV-14,8.7
103. Mad Men,2007–2015,92 eps,TV-MA,8.7
104. The Mandalorian,2019–,24 eps,TV-PG,8.7
105. Peep Show,2003–2015,54 eps,TV-MA,8.7
106. Star Trek: The Next Generation,1987–1994,176 eps,TV-PG,8.7
107. Berserk,1997–1998,25 eps,TV-MA,8.7
108. The Adventures of Sherlock Holmes,1984–1985,13 eps,TV-14,8.7
109. The Marvelous Mrs. Maisel,2017–2023,43 eps,TV-14,8.7
110. Mahabharat,1988–1990,94 eps,TV-14,9
111. Friday Night Lights,2006–2011,76 eps,TV-PG,8.7
112. The Grand Tour,2016–,45 eps,TV-Y7-FV,8.7
113. Top Gear,2002–,327 eps,TV-MA,8.7
114. Aspirants,2021–,10 eps,TV-14,9.2
115. Justice League Unlimited,2004–2006,39 eps,TV-MA,8.7
116. House of Cards,2013–2018,73 eps,TV-MA,8.7
117. Behzat Ç: An Ankara Detective Story,2010–2019,105 eps,TV-14,8.9
118. 1883,2021–2022,10 eps,TV-MA,8.7
119. The Thick of It,2005–2012,24 eps,TV-14,8.7
120. Line of Duty,2012–2021,37 eps,TV-14,8.7
121. The Crown,2016–2023,60 eps,TV-MA,8.6
122. This Is Us,2016–2022,106 eps,TV-PG,8.7
123. Ramayan,1987–1988,78 eps,TV-14,9
124. Atlanta,2016–2022,41 eps,TV-14,8.6
125. Naruto: Shippuden,2007–2017,502 eps,TV-MA,8.7
126. Father Ted,1995–1998,25 eps,TV-14,8.7
127. Parks and Recreation,2009–2015,124 eps,TV-MA,8.6
128. Deadwood,2004–2006,36 eps,TV-14,8.6
129. The X-Files,1993–2018,217 eps,TV-MA,8.6
130. Dexter,2006–2013,96 eps,TV-14,8.7
131. Critical Role,2015–,384 eps,TV-14,9.2
132. Primal,2019–,21 eps,TV-14,8.7
133. Code Geass,2006–2008,54 eps,TV-MA,8.7
134. Monster,2004–2005,75 eps,TV-MA,8.7
135. The Jinx: The Life and Deaths of Robert Durst,2015,6 eps,TV-PG,8.6
136. It's a Sin,2021,5 eps,TV-MA,8.7
137. The Bridge,2011–2018,38 eps,TV-14,8.6
138. Blackadder II,1986,6 eps,TV-PG,8.6
139. Daredevil,2015–2018,39 eps,TV-14,8.6
140. Yeh Meri Family,2018–2023,12 eps,TV-14,9
141. Adventure Time,2010–2018,289 eps,TV-PG,8.6
142. Demon Slayer: Kimetsu no Yaiba,2019–,55 eps,TV-MA,8.7
143. Lonesome Dove,1989,4 eps,TV-MA,8.7
144. The Return of Sherlock Holmes,1986–1988,13 eps,TV-14,8.7
145. Archer,2009–2023,137 eps,TV-MA,8.6
146. Mindhunter,2017–2019,19 eps,TV-PG,8.6
147. Mystery Science Theater 3000,1988–1999,199 eps,TV-MA,8.7
148. Gomorrah,2014–2021,58 eps,TV-PG,8.7
149. Blackadder the Third,1987,6 eps,TV-14,8.6
150. The Offer,2022,10 eps,TV-PG,8.6
151. Young Justice,2010–2022,98 eps,TV-MA,8.6
152. Haikyu!!,2014–2020,89 eps,TV-MA,8.7
153. Anne with an E,2017–2019,27 eps,TV-14,8.7
154. Yellowstone,2018–2023,53 eps,Not Rated,8.7
155. Dopesick,2021,8 eps,TV-PG,8.6
156. Poirot,1989–2013,70 eps,TV-MA,8.6
157. Mr. Bean,1990–1995,15 eps,TV-PG,8.6
158. Yes Minister,1980–1984,22 eps,TV-14,8.7
159. Pose,2018–2021,26 eps,TV-MA,8.7
160. QI,2003–,324 eps,TV-MA,8.6
161. Crash Landing on You,2019–2020,19 eps,TV-MA,8.7
162. Justified,2010–2015,78 eps,TV-14,8.6
163. The Newsroom,2012–2014,25 eps,TV-G,8.6
164. Boardwalk Empire,2010–2014,56 eps,TV-14,8.6
165. Heartstopper,2022–,24 eps,TV-MA,8.7
166. The Bugs Bunny Show,1960–1975,78 eps,TV-MA,8.6
167. Making a Murderer,2015–2018,20 eps,TV-PG,8.6
168. The Haunting of Hill House,2018,10 eps,TV-PG,8.6
169. The Eric Andre Show,2012–,69 eps,TV-MA,8.6
170. El Chavo del Ocho,1972–1983,357 eps,TV-14,8.7
171. Justice League,2001–2004,52 eps,TV-14,8.6
172. The Queen's Gambit,2020,7 eps,TV-MA,8.6
173. Homicide: Life on the Street,1993–1999,122 eps,TV-14,8.7
174. The Venture Bros.,2003–2018,86 eps,TV-MA,8.6
175. The Bureau,2015–,50 eps,TV-14,8.7
176. Dragon Ball,1986–1989,153 eps,TV-MA,8.6
177. Flight of the Conchords,2007–2009,22 eps,TV-14,8.6
178. Dragon Ball,1995–2003,153 eps,TV-14,8.6
179. Black Sun,2017–,20 eps,TV-14,8.9
180. Coupling,2000–2004,28 eps,TV-MA,8.6
181. Battlestar Galactica,2003,2 eps,TV-14,8.5
182. Impractical Jokers,2011–,277 eps,TV-PG,8.6
183. What We Do in the Shadows,2019–,51 eps,TV-14,8.6
184. Spaced,1999–2001,14 eps,TV-MA,8.5
"185. Yes, Prime Minister",1986–1987,16 eps,TV-PG,8.6
186. The Family Man,2019–,20 eps,TV-MA,8.7
187. Samurai Champloo,2004–2005,26 eps,TV-MA,8.6
188. Long Way Round,2004–2010,10 eps,TV-MA,8.6
189. Mr Inbetween,2018–2021,26 eps,TV-14,8.6
190. Formula 1: Drive to Survive,2019–,51 eps,TV-MA,8.5
191. Mr. Robot,2015–2019,45 eps,TV-14,8.5
192. The IT Crowd,2006–2013,25 eps,TV-MA,8.5
193. I'm Alan Partridge,1997–2002,12 eps,TV-14,8.6
194. Ezel,2009–2011,71 eps,TV-PG,8.7
195. Louie,2010–2015,61 eps,TV-MA,8.5
196. Endeavour,2012–2023,36 eps,TV-14,8.6
197. Whose Line Is It Anyway?,1998–2007,220 eps,TV-PG,8.5
198. The Office,2001–2003,14 eps,TV-MA,8.5
199. Mob Psycho 100,2016–2022,37 eps,TV-MA,8.6
200. Through the Wormhole,2010–2017,62 eps,TV-MA,8.6
201. Rocket Boys,2022–,16 eps,TV-MA,8.9
202. Samurai Jack,2001–2017,62 eps,TV-14,8.5
203. Spartacus,2010–2013,33 eps,TV-MA,8.5
204. Shameless,2011–2021,134 eps,TV-PG,8.6
205. The Rehearsal,2022–,7 eps,TV-MA,8.6
206. Detectorists,2014–2022,20 eps,TV-MA,8.6
207. Letterkenny,2016–,76 eps,Not Rated,8.7
208. Doctor Who,2005–,209 eps,TV-MA,8.6
209. Sons of Anarchy,2008–2014,92 eps,TV-14,8.6
210. Neon Genesis Evangelion,1995–1996,26 eps,TV-MA,8.5
211. Skam,2015–2017,43 eps,TV-PG,8.6
212. Brass Eye,1997–2001,7 eps,TV-MA,8.6
213. Extraordinary Attorney Woo,2022,16 eps,TV-MA,8.7
214. Twin Peaks,2017,18 eps,TV-MA,8.5
215. North & South,2004,4 eps,TV-MA,8.6
216. Trailer Park Boys,2001–2018,106 eps,TV-PG,8.6
217. Happy Valley,2014–2023,18 eps,TV-MA,8.5
218. Spartacus: Gods of the Arena,2011,6 eps,TV-14,8.5
219. Westworld,2016–2022,36 eps,TV-14,8.5
220. Fullmetal Alchemist,2003–2004,51 eps,TV-14,8.5
221. Silicon Valley,2014–2019,53 eps,TV-MA,8.5
222. Futurama,1999–2023,160 eps,TV-14,8.5
223. From the Earth to the Moon,1998,12 eps,TV-PG,8.6
224. Tear Along the Dotted Line,2021,6 eps,TV-MA,8.6
225. Rurouni Kenshin: Trust and Betrayal,1999,4 eps,TV-MA,8.6
226. Schitt's Creek,2015–2020,80 eps,TV-14,8.5
227. Regular Show,2010–2017,244 eps,TV-14,8.5
228. Umbre,2014–2019,21 eps,TV-MA,8.7
229. Hannibal,2013–2015,39 eps,TV-MA,8.5
230. The Expanse,2015–2022,62 eps,TV-MA,8.5
231. Community,2009–2015,110 eps,TV-MA,8.5
232. Wentworth,2013–2021,100 eps,TV-MA,8.7
233. Jujutsu Kaisen,2020–,30 eps,TV-14,8.5
234. My Brilliant Friend,2018–,25 eps,TV-PG,8.6
235. Chef's Table,2015–2019,30 eps,TV-MA,8.5
236. Derry Girls,2018–2022,19 eps,TV-14,8.5
237. Avrupa Yakasi,2004–2009,190 eps,TV-14,8.6
238. Cobra Kai,2018–2023,51 eps,TV-MA,8.5
239. Your Lie in April,2014–2018,24 eps,TV-14,8.6
240. Generation Kill,2008,7 eps,TV-MA,8.5
241. Gintama,2005–2021,375 eps,TV-14,8.7
242. Queer Eye,2018–,60 eps,TV-14,8.5
243. The Angry Video Game Nerd,2004–,225 eps,TV-MA,8.5
244. Alfred Hitchcock Presents,1955–1962,268 eps,TV-PG,8.5
245. The Night Of,2016,8 eps,TV-MA,8.4
246. RuPaul's Drag Race,2009–,212 eps,,8.5
247. Foyle's War,2002–2015,28 eps,,8.6
248. Southland,2009–2013,43 eps,,8.5
249. Kardes Payi,2014–2015,35 eps,,8.6
250. Big Little Lies,2017–2019,14 eps,,8.5
